Difficulty,Trial,Solver,Time(ms),Steps,NodesExpanded,MemoryUsed(bytes),Seed,BoardState
5,5,Greedy Best-First Search,11,5,13,27559448,1746611420659,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 11, 13, 15, 0, 12]"
5,5,A* Search,11,5,13,27902304,1746611420659,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 11, 13, 15, 0, 12]"
6,1,Greedy Best-First Search,11,6,17,27894448,1746611420685,"[1, 2, 3, 4, 5, 7, 8, 0, 9, 6, 10, 11, 13, 14, 15, 12]"
6,1,A* Search,13,6,17,27891696,1746611420685,"[1, 2, 3, 4, 5, 7, 8, 0, 9, 6, 10, 11, 13, 14, 15, 12]"
6,2,Greedy Best-First Search,11,6,17,28237048,1746611420713,"[1, 2, 3, 4, 5, 6, 8, 11, 9, 10, 0, 7, 13, 14, 15, 12]"
6,2,A* Search,11,6,17,27218960,1746611420713,"[1, 2, 3, 4, 5, 6, 8, 11, 9, 10, 0, 7, 13, 14, 15, 12]"
6,3,Greedy Best-First Search,12,6,14,28679880,1746611420739,"[1, 2, 4, 8, 5, 6, 3, 0, 9, 10, 7, 11, 13, 14, 15, 12]"
6,3,A* Search,10,6,14,32333560,1746611420739,"[1, 2, 4, 8, 5, 6, 3, 0, 9, 10, 7, 11, 13, 14, 15, 12]"
6,4,Greedy Best-First Search,24,6,16,28308944,1746611420767,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 0, 11, 13, 15, 10, 12]"
6,4,A* Search,24,6,19,28385296,1746611420767,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 0, 11, 13, 15, 10, 12]"
6,5,Greedy Best-First Search,26,6,16,28357104,1746611420819,"[1, 2, 3, 4, 5, 0, 7, 8, 9, 6, 15, 11, 13, 10, 14, 12]"
6,5,A* Search,24,6,16,28377384,1746611420819,"[1, 2, 3, 4, 5, 0, 7, 8, 9, 6, 15, 11, 13, 10, 14, 12]"
7,1,Greedy Best-First Search,23,7,23,28329344,1746611420873,"[1, 2, 3, 4, 5, 7, 10, 8, 9, 6, 15, 11, 13, 14, 0, 12]"
7,1,A* Search,23,7,23,28286016,1746611420873,"[1, 2, 3, 4, 5, 7, 10, 8, 9, 6, 15, 11, 13, 14, 0, 12]"
7,2,Greedy Best-First Search,24,7,18,28148280,1746611420924,"[1, 0, 3, 4, 6, 2, 7, 8, 5, 9, 10, 12, 13, 14, 11, 15]"
7,2,A* Search,24,7,18,28427144,1746611420924,"[1, 0, 3, 4, 6, 2, 7, 8, 5, 9, 10, 12, 13, 14, 11, 15]"
7,3,Greedy Best-First Search,24,7,17,28334048,1746611420976,"[1, 3, 4, 0, 5, 2, 7, 8, 9, 6, 10, 12, 13, 14, 11, 15]"
7,3,A* Search,24,7,17,28298584,1746611420976,"[1, 3, 4, 0, 5, 2, 7, 8, 9, 6, 10, 12, 13, 14, 11, 15]"
7,4,Greedy Best-First Search,24,7,16,217001656,1746611421030,"[1, 0, 2, 3, 5, 6, 8, 4, 9, 10, 7, 12, 13, 14, 11, 15]"
7,4,A* Search,26,7,16,28334056,1746611421030,"[1, 0, 2, 3, 5, 6, 8, 4, 9, 10, 7, 12, 13, 14, 11, 15]"
7,5,Greedy Best-First Search,25,7,16,28283896,1746611421085,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 15, 11, 0, 10, 14, 12]"
7,5,A* Search,22,7,16,28316136,1746611421085,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 15, 11, 0, 10, 14, 12]"
8,1,Greedy Best-First Search,23,8,20,28345136,1746611421137,"[1, 2, 4, 8, 5, 6, 3, 11, 9, 10, 0, 7, 13, 14, 15, 12]"
8,1,A* Search,23,8,20,28258480,1746611421137,"[1, 2, 4, 8, 5, 6, 3, 11, 9, 10, 0, 7, 13, 14, 15, 12]"
8,2,Greedy Best-First Search,23,8,21,28280536,1746611421187,"[1, 2, 3, 4, 5, 7, 8, 0, 9, 6, 15, 11, 13, 10, 14, 12]"
8,2,A* Search,23,8,21,28239952,1746611421187,"[1, 2, 3, 4, 5, 7, 8, 0, 9, 6, 15, 11, 13, 10, 14, 12]"
8,3,Greedy Best-First Search,23,8,19,28331912,1746611421238,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 15, 13, 14, 12, 11]"
8,3,A* Search,24,8,29,28264368,1746611421238,"[1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 10, 15, 13, 14, 12, 11]"
8,4,Greedy Best-First Search,23,8,24,28432320,1746611421289,"[1, 2, 0, 4, 5, 6, 3, 8, 9, 15, 7, 11, 13, 10, 14, 12]"
8,4,A* Search,23,8,24,28279768,1746611421289,"[1, 2, 0, 4, 5, 6, 3, 8, 9, 15, 7, 11, 13, 10, 14, 12]"
8,5,Greedy Best-First Search,23,8,20,28264808,1746611421340,"[1, 2, 3, 4, 5, 0, 6, 8, 9, 10, 7, 15, 13, 14, 12, 11]"
8,5,A* Search,23,8,30,28233952,1746611421340,"[1, 2, 3, 4, 5, 0, 6, 8, 9, 10, 7, 15, 13, 14, 12, 11]"
9,1,Greedy Best-First Search,23,11,28,28255896,1746611421391,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 15, 11, 10, 14, 0, 12]"
9,1,A* Search,23,9,37,28398824,1746611421391,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 15, 11, 10, 14, 0, 12]"
9,2,Greedy Best-First Search,23,3,8,28268640,1746611421442,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 14, 0, 12]"
9,2,A* Search,16,3,8,26956160,1746611421442,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 14, 0, 12]"
9,3,Greedy Best-First Search,13,9,21,27879360,1746611421486,"[1, 0, 3, 4, 6, 2, 7, 8, 5, 14, 10, 12, 9, 13, 11, 15]"
9,3,A* Search,13,9,21,27558120,1746611421486,"[1, 0, 3, 4, 6, 2, 7, 8, 5, 14, 10, 12, 9, 13, 11, 15]"
9,4,Greedy Best-First Search,11,9,21,28248176,1746611421516,"[1, 3, 4, 0, 6, 2, 7, 8, 5, 9, 10, 12, 13, 14, 11, 15]"
9,4,A* Search,12,9,21,27555888,1746611421516,"[1, 3, 4, 0, 6, 2, 7, 8, 5, 9, 10, 12, 13, 14, 11, 15]"
9,5,Greedy Best-First Search,12,9,22,27559768,1746611421544,"[1, 2, 3, 4, 0, 5, 6, 8, 9, 10, 7, 15, 13, 14, 12, 11]"
9,5,A* Search,11,9,32,27219136,1746611421544,"[1, 2, 3, 4, 0, 5, 6, 8, 9, 10, 7, 15, 13, 14, 12, 11]"
10,1,Greedy Best-First Search,10,10,29,27554224,1746611421570,"[1, 2, 3, 4, 5, 10, 6, 8, 9, 7, 0, 15, 13, 14, 12, 11]"
10,1,A* Search,13,10,72,27641480,1746611421570,"[1, 2, 3, 4, 5, 10, 6, 8, 9, 7, 0, 15, 13, 14, 12, 11]"
10,2,Greedy Best-First Search,11,10,23,27900960,1746611421598,"[1, 3, 0, 4, 6, 2, 7, 8, 5, 14, 10, 12, 9, 13, 11, 15]"
10,2,A* Search,12,10,23,27555352,1746611421598,"[1, 3, 0, 4, 6, 2, 7, 8, 5, 14, 10, 12, 9, 13, 11, 15]"
10,3,Greedy Best-First Search,26,10,26,28228368,1746611421625,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 0, 11, 10, 14, 15, 12]"
10,3,A* Search,25,10,72,28374976,1746611421625,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 0, 11, 10, 14, 15, 12]"
10,4,Greedy Best-First Search,23,10,26,28334816,1746611421681,"[1, 2, 0, 3, 5, 6, 7, 4, 9, 15, 11, 8, 13, 10, 14, 12]"
10,4,A* Search,23,10,34,28299304,1746611421681,"[1, 2, 0, 3, 5, 6, 7, 4, 9, 15, 11, 8, 13, 10, 14, 12]"
10,5,Greedy Best-First Search,31,2,6,28171712,1746611421732,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]"
10,5,A* Search,23,2,6,28508960,1746611421732,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]"
11,1,Greedy Best-First Search,25,19,86,28393488,1746611421791,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 14, 11, 15, 10, 0, 12]"
11,1,A* Search,23,11,53,28366400,1746611421791,"[1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 14, 11, 15, 10, 0, 12]"
11,2,Greedy Best-First Search,24,11,27,28252104,1746611421844,"[1, 6, 2, 4, 5, 10, 3, 8, 9, 0, 7, 15, 13, 14, 12, 11]"
11,2,A* Search,24,11,37,28179472,1746611421844,"[1, 6, 2, 4, 5, 10, 3, 8, 9, 0, 7, 15, 13, 14, 12, 11]"
11,3,Greedy Best-First Search,23,19,121,28495336,1746611421897,"[1, 2, 3, 0, 5, 10, 6, 4, 9, 14, 11, 8, 13, 15, 7, 12]"
11,3,A* Search,25,11,46,28405976,1746611421897,"[1, 2, 3, 0, 5, 10, 6, 4, 9, 14, 11, 8, 13, 15, 7, 12]"
11,4,Greedy Best-First Search,20,9,40,27178432,1746611421949,"[2, 5, 3, 4, 0, 1, 7, 8, 9, 6, 10, 11, 13, 14, 15, 12]"
11,4,A* Search,23,9,31,28510816,1746611421949,"[2, 5, 3, 4, 0, 1, 7, 8, 9, 6, 10, 11, 13, 14, 15, 12]"
11,5,Greedy Best-First Search,22,11,27,233764776,1746611421998,"[1, 2, 3, 4, 9, 5, 6, 8, 10, 0, 7, 15, 13, 14, 12, 11]"
11,5,A* Search,25,11,37,28451688,1746611421998,"[1, 2, 3, 4, 9, 5, 6, 8, 10, 0, 7, 15, 13, 14, 12, 11]"
12,1,Greedy Best-First Search,13,18,158,27970312,1746611422050,"[1, 2, 3, 4, 5, 0, 6, 8, 9, 14, 7, 12, 10, 13, 11, 15]"
12,1,A* Search,12,12,114,27302392,1746611422050,"[1, 2, 3, 4, 5, 0, 6, 8, 9, 14, 7, 12, 10, 13, 11, 15]"
12,2,Greedy Best-First Search,12,12,65,27891232,1746611422080,"[1, 10, 2, 4, 5, 3, 8, 0, 9, 7, 6, 12, 13, 14, 11, 15]"
